threshold_min,count,participants,pct
480,194,86,0.40830071136928064
600,475,140,0.9997053500021046
720,1336,186,2.811802837058551
840,5470,235,11.512396346340026
960,21694,241,45.6581218167277
1080,41867,242,88.11508187060656
1200,47514,242,100.0
1320,47514,242,100.0
1440,47514,242,100.0
